# Synthetic Brillouin-style dataset — bridgmanite (MgSiO3 perovskite)
# Generated from SLB2011 forward model + Gaussian noise (seed=42)
# Mineral: Mg-Perovskite (mpv)
# Reference params: K0=250.53 GPa, G0=172.90 GPa, V0=24.445 cm3/mol
# Noise: Vp/Vs ±0.5%, density ±1.0%
P(GPa),T(K),Vp(m/s),Vs(m/s),Density(g/cm3),SigmaVp(m/s),SigmaVs(m/s),SigmaDensity(g/cm3)
25.00,2000,11379.9,6330.8,4.2940,56.6,31.7,0.0430
25.00,2500,11032.1,6151.7,4.2365,55.6,30.8,0.0424
25.00,3000,10873.8,5931.1,4.2261,54.5,29.7,0.0418
50.00,2000,12170.5,6759.6,4.6127,61.4,33.7,0.0462
50.00,2500,12005.3,6589.1,4.5931,60.6,33.0,0.0457
50.00,3000,11858.2,6452.5,4.4897,59.7,32.2,0.0452
75.00,2000,13139.9,7039.3,4.8263,65.1,35.1,0.0489
75.00,2500,12925.8,6904.6,4.8979,64.4,34.5,0.0485
75.00,3000,12762.5,6756.9,4.8315,63.8,33.9,0.0481
100.00,2000,13555.1,7235.0,5.0660,68.2,36.2,0.0512
100.00,2500,13583.3,7136.5,5.0818,67.7,35.7,0.0509
100.00,3000,13396.0,7032.0,4.9949,67.1,35.2,0.0505
125.00,2000,14276.0,7493.2,5.3352,71.0,37.1,0.0533
125.00,2500,14193.9,7403.8,5.2568,70.5,36.7,0.0530
125.00,3000,14085.3,7255.9,5.2801,70.0,36.2,0.0527
